name,model,tree_length
15198,WAG+F+G,2.525
7458,WAG+F,0.782
38107,WAG+F,0.067
3543,FLU+F+G,2.374
33765,Poisson+F+G,1.052
11464,WAG+F+G,0.001
9948,FLU+F+G,1.131
10442,WAG+F,0.358
21442,WAG+F+G,1.139
2858,FLU+F,0.401
9322,JTT+F+G,0.854
597,WAG+F+G,1.225
3714,JTT+F,2.910
5608,FLU+F+G,2.340
26827,WAG+F,0.086
3124,Poisson+F+G,2.172
3268,LG+F,0.325
10276,WAG+F+G,0.125
11452,Poisson+F,3.082
6161,LG+F+G,2.001
7491,WAG+F,6.405
8763,Poisson+F+G,0.140
10460,FLU+F,1.605
7172,WAG+F,0.649
23405,WAG+F,1.475
11502,Poisson+F,0.448
11026,Poisson+F+G,0.029
17076,FLU+F,0.317
4076,Poisson+F+G,2.107
13237,LG+F+G,1.914
3682,Poisson+F,2.364
5964,FLU+F,1.031
11134,WAG+F+G,1.485
3013,FLU+F+G,1.300
9467,FLU+F,0.334
13783,WAG+F+G,1.021
24846,FLU+F+G,0.338
39281,LG+F+G,0.625
45168,WAG+F,0.700
3461,LG+F+G,2.168
2601,FLU+F+G,4.500
10726,WAG+F+G,0.923
5946,WAG+F,0.055
8060,JTT+F+G,1.940
12191,WAG+F+G,0.582
4302,JTT+F,1.342
6947,WAG+F+G,1.519
21939,FLU+F,1.067
17735,FLU+F+G,1.099
7943,WAG+F,0.135
5612,WAG+F+G,0.937
5307,LG+F,1.001
21458,FLU+F+G,2.967
9982,JTT+F+G,0.979
36885,JTT+F+G,0.352
3589,JTT+F+G,0.818
2543,FLU+F,0.631
9952,WAG+F+G,0.101
43811,LG+F+G,0.139
13016,Poisson+F+G,1.094
38172,JTT+F+G,5.556
11637,JTT+F,2.420
966,LG+F+G,1.649
2561,WAG+F,0.152
2082,WAG+F,1.519
20634,Poisson+F+G,2.848
6667,JTT+F+G,1.966
7066,LG+F,1.853
10990,WAG+F,1.185
13151,LG+F,0.180
7961,FLU+F,1.194
5342,WAG+F+G,1.907
5392,JTT+F+G,0.992
17865,WAG+F,0.872
8630,JTT+F,0.780
29965,Poisson+F,0.092
12465,FLU+F,1.468
44703,JTT+F+G,0.138
7525,JTT+F+G,0.247
44637,JTT+F,1.164
4580,JTT+F+G,0.758
13898,Poisson+F,0.098
12447,WAG+F,2.135
11127,Poisson+F,1.629
6046,Poisson+F+G,0.319
4550,WAG+F+G,0.320
13363,Poisson+F,3.152
1711,JTT+F,0.374
8852,Poisson+F,0.956
2362,LG+F+G,2.840
11077,Poisson+F,0.171
28029,FLU+F,0.471
21422,FLU+F,0.839
5155,FLU+F,2.157
13233,Poisson+F,2.018
17289,FLU+F,0.462
21754,LG+F,1.336
5797,FLU+F+G,0.420
20252,LG+F+G,0.977
9673,WAG+F,0.421
22021,Poisson+F,1.039
8418,Poisson+F+G,0.696
9698,FLU+F,0.754
20335,Poisson+F,0.323
29048,JTT+F,2.093
4134,JTT+F,1.094
9390,WAG+F,1.946
17249,LG+F+G,0.646
17396,Poisson+F+G,0.135
1202,Poisson+F,0.481
6603,LG+F+G,1.819
2874,WAG+F+G,0.581
17240,FLU+F,1.683
10953,FLU+F+G,1.423
9359,WAG+F,0.556
20975,FLU+F+G,0.718
10339,JTT+F+G,1.488
3116,Poisson+F,0.828
10802,LG+F+G,0.872
6732,FLU+F+G,2.291
9651,FLU+F,2.480
13404,JTT+F,4.993
39635,FLU+F+G,2.794
23435,LG+F,1.222
5294,Poisson+F+G,0.297
29338,Poisson+F+G,0.180
13555,LG+F+G,0.930
10656,FLU+F,0.682
188,JTT+F+G,3.168
11296,Poisson+F,0.536
4948,LG+F+G,1.503
627,Poisson+F,4.778
38313,FLU+F,1.192
8148,Poisson+F,0.546
7470,FLU+F+G,2.145
13182,Poisson+F,0.220
30854,JTT+F,0.997
12749,LG+F+G,0.936
6900,JTT+F,0.824
18856,LG+F+G,1.078
28206,LG+F+G,0.288
19121,LG+F,3.119
22197,LG+F+G,0.080
14390,LG+F+G,1.338
3303,LG+F+G,1.144
33366,LG+F,0.464
7144,Poisson+F+G,1.383
26504,JTT+F+G,0.034
31363,WAG+F+G,0.089
10674,WAG+F,0.463
6262,FLU+F+G,1.967
5388,WAG+F,0.152
352,Poisson+F,2.780
1527,JTT+F,2.259
40630,JTT+F+G,2.339
3416,JTT+F+G,0.344
1957,LG+F+G,1.563
33237,FLU+F,0.015
9277,FLU+F+G,0.420
5363,FLU+F,3.846
21614,FLU+F,1.892
12392,WAG+F,0.020
21551,LG+F+G,0.015
13336,LG+F,0.763
7201,LG+F,0.048
5160,LG+F,0.943
5649,FLU+F,0.133
6728,WAG+F+G,0.444
11057,LG+F,0.185
25099,JTT+F,0.764
2026,Poisson+F+G,2.507
32851,JTT+F,1.615
5341,WAG+F,3.007
22562,FLU+F+G,0.226
2204,JTT+F+G,1.688
8406,JTT+F,2.522
7100,LG+F+G,3.889
12653,FLU+F,0.897
10999,JTT+F+G,0.866
12544,FLU+F+G,1.191
8465,FLU+F+G,1.291
10124,Poisson+F+G,2.788
10949,WAG+F+G,1.614
44538,LG+F+G,0.670
40784,WAG+F,1.869
37471,LG+F+G,1.451
10193,LG+F+G,0.283
2757,WAG+F,5.103
3146,JTT+F+G,0.109
5174,Poisson+F+G,0.322
324,JTT+F,1.618
34097,FLU+F+G,0.208
11401,JTT+F,0.983
36112,Poisson+F,0.924
11231,LG+F,1.484
36620,FLU+F+G,0.540
42507,WAG+F+G,0.171
17076,Poisson+F+G,0.345
142,FLU+F+G,1.612
20640,Poisson+F,0.092
6278,WAG+F+G,0.209
35735,Poisson+F+G,2.695
7067,LG+F,1.341
2784,WAG+F+G,1.228
3533,Poisson+F,1.155
5804,Poisson+F,0.246
22446,JTT+F,0.036
1777,Poisson+F,0.068
9903,LG+F+G,0.121
43315,WAG+F+G,1.518
5954,Poisson+F,3.193
8791,LG+F+G,0.337
3839,JTT+F,0.142
2775,FLU+F,0.394
18520,JTT+F,0.188
31913,JTT+F+G,0.477
24654,Poisson+F+G,1.440
29505,LG+F+G,3.055
15493,LG+F+G,1.583
9818,WAG+F,0.457
4719,WAG+F+G,0.006
5586,Poisson+F,0.309
28184,WAG+F,0.235
33618,FLU+F+G,1.231
12009,FLU+F,1.329
44771,JTT+F,0.797
1960,LG+F+G,0.618
12501,WAG+F,1.766
2482,JTT+F+G,1.453
8889,JTT+F+G,0.354
8859,WAG+F+G,1.357
40708,LG+F,0.053
9455,Poisson+F+G,1.532
10436,LG+F,0.722
26618,FLU+F+G,1.029
2212,Poisson+F+G,8.104
7692,Poisson+F,2.378
