name,model,tree_length
ENSG00000135297_AA,FLU+F,0.945
ENSG00000174516_AA,WAG+F,0.194
ENSG00000010278_AA,LG+F,0.971
ENSG00000131462_AA,WAG+F,0.047
ENSG00000171155_AA,WAG+F+G,0.663
ENSG00000115221_AA,Poisson+F+G,0.669
ENSG00000165782_AA,LG+F,0.157
ENSG00000157456_AA,WAG+F,0.726
ENSG00000134198_AA,JTT+F,0.446
ENSG00000185722_AA,FLU+F,0.417
ENSG00000131471_AA,FLU+F+G,1.648
ENSG00000156150_AA,Poisson+F,0.815
ENSG00000125735_AA,JTT+F,1.399
ENSG00000166507_AA,WAG+F+G,0.290
ENSG00000135999_AA,Poisson+F+G,0.188
ENSG00000164190_AA,LG+F,0.157
ENSG00000089693_AA,JTT+F+G,0.163
ENSG00000134398_AA,WAG+F,1.142
ENSG00000137100_AA,LG+F+G,0.473
ENSG00000112983_AA,WAG+F,0.503
ENSG00000117682_AA,FLU+F,0.387
ENSG00000156103_AA,WAG+F,0.133
ENSG00000108830_AA,FLU+F,0.217
ENSG00000123416_AA,LG+F+G,0.128
ENSG00000238243_AA,Poisson+F+G,1.607
ENSG00000141316_AA,JTT+F+G,2.395
ENSG00000131437_AA,WAG+F,0.090
ENSG00000126775_AA,Poisson+F+G,0.498
ENSG00000157119_AA,LG+F+G,0.604
ENSG00000170417_AA,Poisson+F,0.715
ENSG00000125871_AA,LG+F+G,1.735
ENSG00000124789_AA,JTT+F+G,1.286
ENSG00000145868_AA,LG+F+G,0.273
ENSG00000135698_AA,WAG+F,0.852
ENSG00000112964_AA,FLU+F+G,1.562
ENSG00000182175_AA,JTT+F+G,0.651
ENSG00000100519_AA,FLU+F+G,0.059
ENSG00000006634_AA,JTT+F,1.539
ENSG00000184277_AA,FLU+F,0.663
ENSG00000165186_AA,FLU+F+G,0.128
ENSG00000109475_AA,LG+F+G,0.054
ENSG00000175216_AA,JTT+F,0.281
ENSG00000130165_AA,LG+F,1.082
ENSG00000259885_AA,FLU+F,0.758
ENSG00000120265_AA,WAG+F,0.277
ENSG00000082269_AA,Poisson+F+G,1.015
ENSG00000181392_AA,LG+F,2.249
ENSG00000108061_AA,WAG+F,0.220
ENSG00000110536_AA,JTT+F+G,1.174
ENSG00000113088_AA,WAG+F,1.998
ENSG00000135631_AA,LG+F+G,1.028
ENSG00000173889_AA,Poisson+F+G,0.339
ENSG00000164611_AA,WAG+F,1.628
ENSG00000136942_AA,FLU+F+G,0.212
ENSG00000133048_AA,Poisson+F+G,1.537
ENSG00000161958_AA,FLU+F+G,0.238
ENSG00000174948_AA,WAG+F,1.232
ENSG00000205221_AA,WAG+F+G,1.176
ENSG00000180628_AA,JTT+F,0.131
ENSG00000164162_AA,FLU+F+G,0.124
ENSG00000075223_AA,Poisson+F+G,0.435
ENSG00000165325_AA,JTT+F+G,1.180
ENSG00000115590_AA,Poisson+F,2.309
ENSG00000167526_AA,Poisson+F+G,1.069
ENSG00000127989_AA,JTT+F+G,1.842
ENSG00000107164_AA,JTT+F+G,0.386
ENSG00000153406_AA,JTT+F,1.029
ENSG00000106336_AA,FLU+F+G,0.717
ENSG00000151240_AA,WAG+F+G,0.069
ENSG00000101751_AA,LG+F,1.509
ENSG00000145293_AA,FLU+F+G,0.850
ENSG00000119699_AA,WAG+F,0.297
ENSG00000170836_AA,LG+F+G,0.685
ENSG00000142534_AA,WAG+F+G,0.134
ENSG00000196305_AA,WAG+F+G,0.808
ENSG00000162409_AA,Poisson+F,0.147
ENSG00000113758_AA,LG+F,0.680
ENSG00000148737_AA,FLU+F+G,0.158
ENSG00000140854_AA,LG+F,0.307
ENSG00000100413_AA,LG+F,0.222
ENSG00000135632_AA,WAG+F,0.327
ENSG00000115457_AA,FLU+F+G,1.154
ENSG00000167641_AA,Poisson+F,0.824
ENSG00000159217_AA,JTT+F,0.054
ENSG00000103257_AA,JTT+F+G,0.733
ENSG00000102010_AA,FLU+F+G,0.711
ENSG00000204928_AA,WAG+F+G,0.989
ENSG00000161016_AA,JTT+F+G,0.013
ENSG00000084693_AA,WAG+F,0.749
ENSG00000062038_AA,LG+F+G,1.256
ENSG00000131634_AA,Poisson+F+G,0.980
ENSG00000106336_AA,Poisson+F+G,0.666
ENSG00000095464_AA,FLU+F,0.714
ENSG00000188487_AA,FLU+F,0.433
ENSG00000134461_AA,Poisson+F+G,1.576
ENSG00000114796_AA,JTT+F,0.045
ENSG00000162510_AA,FLU+F+G,0.834
ENSG00000091136_AA,LG+F,0.600
ENSG00000115289_AA,Poisson+F+G,0.099
ENSG00000135473_AA,WAG+F+G,0.204
ENSG00000134758_AA,JTT+F+G,0.384
ENSG00000100744_AA,FLU+F+G,0.586
ENSG00000100276_AA,Poisson+F+G,0.501
ENSG00000100628_AA,WAG+F+G,0.932
ENSG00000170011_AA,Poisson+F,1.201
ENSG00000010322_AA,FLU+F,0.566
ENSG00000140319_AA,FLU+F+G,0.674
ENSG00000095380_AA,Poisson+F+G,0.471
ENSG00000258728_AA,LG+F,1.035
ENSG00000172789_AA,FLU+F+G,0.248
ENSG00000198125_AA,JTT+F,1.251
ENSG00000135931_AA,Poisson+F+G,0.837
ENSG00000076053_AA,Poisson+F,0.883
ENSG00000187325_AA,WAG+F+G,0.511
ENSG00000154118_AA,JTT+F,0.604
ENSG00000177058_AA,JTT+F,0.717
ENSG00000088832_AA,FLU+F,0.155
ENSG00000138768_AA,JTT+F,0.491
ENSG00000197694_AA,FLU+F,0.115
ENSG00000083782_AA,FLU+F,0.776
ENSG00000066651_AA,LG+F+G,0.623
ENSG00000163006_AA,LG+F,1.296
ENSG00000108590_AA,LG+F,0.062
ENSG00000108381_AA,JTT+F+G,0.921
ENSG00000177614_AA,LG+F,0.673
ENSG00000137822_AA,WAG+F,0.155
ENSG00000262633_AA,WAG+F,0.569
ENSG00000188153_AA,LG+F,0.573
ENSG00000163755_AA,FLU+F,1.063
ENSG00000141579_AA,LG+F,1.918
ENSG00000005187_AA,WAG+F+G,1.023
ENSG00000188909_AA,FLU+F+G,0.535
ENSG00000141503_AA,Poisson+F,0.236
ENSG00000135108_AA,Poisson+F+G,0.207
ENSG00000085274_AA,LG+F,0.380
ENSG00000162614_AA,LG+F,0.590
ENSG00000204859_AA,JTT+F,0.621
ENSG00000173208_AA,JTT+F,0.427
ENSG00000262499_AA,JTT+F,1.912
ENSG00000070526_AA,LG+F+G,1.870
ENSG00000090263_AA,FLU+F+G,1.417
ENSG00000105486_AA,FLU+F+G,1.366
ENSG00000122870_AA,Poisson+F+G,0.342
ENSG00000106397_AA,LG+F,0.503
ENSG00000198780_AA,FLU+F,1.024
ENSG00000176953_AA,JTT+F,1.362
ENSG00000120451_AA,FLU+F+G,1.509
ENSG00000183128_AA,Poisson+F,1.055
ENSG00000066322_AA,WAG+F+G,0.685
ENSG00000144445_AA,FLU+F,1.160
ENSG00000137073_AA,FLU+F,0.977
ENSG00000143457_AA,JTT+F+G,0.331
ENSG00000120314_AA,LG+F,0.706
ENSG00000136573_AA,FLU+F,0.810
ENSG00000197273_AA,JTT+F+G,3.042
ENSG00000143442_AA,JTT+F+G,0.319
ENSG00000079257_AA,FLU+F,1.011
