name,model,tree_length
1B5D_A,WAG+F,5.320
1B65_A,LG+F,88.643
1OPM_A,WAG+F+G,69.574
1U5U_A,Poisson+F+G,4.658
1AJ0_A,Poisson+F+G,70.891
1H3I_A,LG+F,21.539
1H7O_A,LG+F+G,75.825
1A65_A,Poisson+F,72.587
1TDE_A,FLU+F,40.928
1F8M_A,FLU+F+G,76.370
1SCA_A,JTT+F,30.988
1C4Z_A,JTT+F,14.665
1YBQ_A,JTT+F,100.593
1SMN_A,LG+F+G,91.543
1R44_A,JTT+F,79.170
1E1A_A,FLU+F,9.965
1GPR_A,Poisson+F+G,87.419
1L6P_A,Poisson+F,3.450
1U8V_A,JTT+F+G,87.703
1OFG_A,Poisson+F,80.363
1ASY_B,LG+F,64.009
1HRD_A,WAG+F+G,54.530
1CA2_A,WAG+F+G,97.066
1OE8_A,Poisson+F,90.540
1B9H_A,JTT+F,100.659
1MUD_A,Poisson+F,2.037
1YSC_A,Poisson+F,67.251
1TAH_B,JTT+F,77.550
1BD3_A,WAG+F,53.634
1SZJ_G,FLU+F+G,69.163
1SCA_A,WAG+F+G,37.537
1LBA_A,Poisson+F,79.278
1SLL_A,JTT+F,19.841
3CLA_A,JTT+F+G,103.130
1BD3_A,Poisson+F,51.059
1A69_A,FLU+F,61.588
1B7Y_A,LG+F,7.599
1DL5_A,WAG+F,27.389
1B6T_A,FLU+F+G,134.593
1HTI_A,LG+F,54.065
1QFM_A,WAG+F+G,90.260
1E0C_A,LG+F+G,108.221
1NIR_A,Poisson+F,25.508
1HTO_A,JTT+F,47.199
1KZH_A,WAG+F,52.773
1QFE_A,FLU+F,125.287
1E2A_A,Poisson+F+G,82.753
1Y9M_A,LG+F+G,114.228
1UAQ_A,Poisson+F+G,86.707
1ODT_C,LG+F,79.247
1S3I_A,Poisson+F+G,81.000
1IPH_A,LG+F,62.551
1QMH_A,Poisson+F,92.837
1GQ8_A,Poisson+F+G,5.146
1J00_A,WAG+F+G,67.907
1DD8_A,WAG+F,44.951
1CDG_A,FLU+F,73.104
1KCZ_A,Poisson+F+G,49.960
1P3D_A,LG+F,58.614
1H2R_L,LG+F+G,68.275
1XQW_A,JTT+F+G,105.854
1GQ8_A,FLU+F+G,7.109
1BOU_B,FLU+F+G,105.643
1G72_A,Poisson+F,54.600
1EB6_A,Poisson+F,9.195
2XIS_A,WAG+F+G,65.723
1DWO_A,FLU+F+G,114.089
1GDH_A,Poisson+F+G,71.889
1PTD_A,LG+F,40.939
1A65_A,FLU+F+G,101.892
1AMY_A,LG+F,49.759
1EZ1_A,FLU+F,51.548
1SNZ_A,WAG+F+G,84.386
1NVT_A,FLU+F,118.350
1GPR_A,FLU+F+G,124.985
1BU7_A,LG+F+G,54.030
1BP2_A,LG+F+G,57.337
1CEV_A,WAG+F,69.787
1FDY_A,FLU+F+G,139.270
1ULA_A,FLU+F+G,117.775
1B93_A,WAG+F,67.329
1S3I_A,WAG+F+G,88.595
1L0O_A,JTT+F+G,98.416
1DFO_A,LG+F+G,71.393
1B7Y_A,Poisson+F+G,8.304
1MFP_A,LG+F,50.872
1HRK_A,LG+F,62.554
1F7U_A,WAG+F+G,115.785
1XGM_A,JTT+F+G,77.944
1M54_A,Poisson+F+G,26.074
1I9A_A,Poisson+F+G,84.813
1JH6_A,FLU+F,31.657
1CTN_A,Poisson+F,41.319
1EUU_A,LG+F+G,131.882
1ONR_A,LG+F,54.508
2AYH_A,JTT+F+G,62.039
1OXA_A,Poisson+F,69.413
1RA0_A,FLU+F+G,101.804
1VNC_A,FLU+F+G,42.380
1HPL_A,FLU+F,73.606
1BU7_A,Poisson+F+G,73.310
1CG6_A,Poisson+F,63.510
5COX_A,FLU+F,37.788
2PIA_A,JTT+F,97.716
1OXA_A,LG+F,75.147
2PFL_A,JTT+F,43.802
1DLI_A,JTT+F+G,84.239
2TDT_A,LG+F+G,78.115
1ONR_A,JTT+F,54.629
2JCW_A,FLU+F+G,61.665
1KYW_A,FLU+F,77.363
1GPA_A,FLU+F,68.991
1CWY_A,Poisson+F+G,86.679
1QF6_A,LG+F+G,70.803
1BWZ_A,WAG+F+G,59.839
1QI9_A,LG+F+G,59.007
1H2R_L,JTT+F,58.139
1KFU_L,WAG+F,38.690
1EI5_A,Poisson+F+G,39.927
1PS9_A,FLU+F,54.304
1AGM_A,Poisson+F,54.813
1AMP_A,WAG+F+G,18.426
1SES_B,WAG+F,71.272
1TAH_B,JTT+F+G,95.224
1DDJ_A,FLU+F+G,63.460
1QH5_A,LG+F,74.939
1F6D_A,FLU+F,64.374
1QRR_A,Poisson+F,57.576
1EYI_A,WAG+F,53.345
1KC7_A,FLU+F,55.636
1VLB_A,JTT+F,80.076
1E0C_A,Poisson+F,86.215
1MOK_A,FLU+F,7.254
1OJ4_A,WAG+F,71.062
1RO7_A,Poisson+F+G,12.314
1ALK_A,LG+F,85.875
1JH6_A,JTT+F+G,38.042
1UAM_A,LG+F,65.907
1B73_A,WAG+F+G,92.631
1F8X_A,WAG+F,22.160
1AVQ_A,WAG+F+G,35.961
1C2T_A,JTT+F+G,85.765
1HKA_A,JTT+F+G,91.281
1QK2_A,LG+F,41.151
1NU3_A,LG+F,61.696
1YON_A,WAG+F,90.377
1QBA_A,LG+F,98.569
1OAC_A,WAG+F,75.282
1F7U_A,WAG+F,74.609
1B8F_A,FLU+F+G,89.615
1SZD_A,JTT+F+G,47.248
1KSJ_A,JTT+F,50.894
2PIA_A,WAG+F+G,110.967
1FPS_A,Poisson+F,57.756
1DAA_A,Poisson+F,86.390
1AFW_A,JTT+F+G,59.959
1ARZ_A,JTT+F,52.265
1DVE_A,WAG+F+G,85.120
1BWP_A,JTT+F+G,86.599
1ELQ_A,FLU+F+G,93.193
1QCN_A,LG+F+G,72.456
1I1I_P,Poisson+F+G,92.882
1KRA_C,WAG+F,36.073
1ELQ_A,Poisson+F+G,72.846
1CA2_A,LG+F,48.226
1MRQ_A,WAG+F,40.999
1QRG_A,Poisson+F,83.955
1E1A_A,LG+F+G,11.219
1QAM_A,Poisson+F,39.792
1AMP_A,WAG+F,12.767
1DHP_A,WAG+F,57.891
1QF6_A,LG+F,48.789
1QHF_A,Poisson+F,44.058
1P3D_A,WAG+F,57.115
1B5T_A,WAG+F+G,72.243
1E1A_A,JTT+F+G,10.574
1D4A_A,JTT+F+G,81.196
2THI_A,WAG+F+G,6.505
1SZD_A,JTT+F,39.148
1K4L_A,LG+F,57.985
1AMY_A,FLU+F+G,95.239
1RDD_A,LG+F+G,75.010
1NVM_A,Poisson+F+G,55.896
1BHG_A,WAG+F+G,83.796
1D1Q_A,JTT+F,90.933
1XGM_A,WAG+F,79.646
1FDY_A,LG+F+G,123.430
1FIQ_C,FLU+F+G,8.253
1BHG_A,JTT+F,78.594
1GSA_A,WAG+F,59.088
1UQR_A,FLU+F+G,98.627
1FR8_A,JTT+F,28.643
1QAZ_A,FLU+F,21.711
1J79_A,JTT+F,55.770
1OH9_A,JTT+F,86.062
1SLL_A,LG+F+G,32.850
1BU7_A,JTT+F+G,50.721
1EVY_A,FLU+F,100.116
1NDH_A,JTT+F+G,70.014
1B9H_A,WAG+F+G,124.209
1F2D_A,WAG+F,56.246
1HPM_A,JTT+F,1.927
1BWP_A,FLU+F,91.753
1NVM_A,FLU+F+G,79.181
1A2T_A,LG+F+G,15.156
2DOR_A,Poisson+F,75.470
1D6O_A,Poisson+F+G,71.638
1P5D_X,JTT+F,57.373
1HQC_A,Poisson+F+G,74.714
1VR7_A,WAG+F+G,168.340
1K4T_A,JTT+F+G,72.169
1EUU_A,Poisson+F+G,89.446
1EI5_A,WAG+F,38.307
1C82_A,JTT+F,22.080
1FR2_B,Poisson+F+G,18.861
1AGM_A,LG+F,65.120
1DOD_A,JTT+F+G,74.745
1HFS_A,LG+F,1.038
2BMI_A,LG+F,96.814
1BOU_B,LG+F,59.738
1AKO_A,FLU+F+G,92.445
2PDA_A,WAG+F,57.475
1CVR_A,FLU+F,2.509
1DE6_A,FLU+F,59.482
1GCB_A,Poisson+F+G,95.786
1UAS_A,LG+F,60.645
